k,energy,band_localization,special_points
0.099,-61.0305,2.71134E-05,
0.1072,-61.0305,2.67583E-05,
0.1155,-61.0295,2.63751E-05,
0.1237,-61.0295,2.59645E-05,
0.132,-61.0295,2.55265E-05,
0.1402,-61.0285,2.5062E-05,
0.1485,-61.0285,2.45713E-05,
0.1567,-61.0275,2.40555E-05,
0.165,-61.0275,2.35159E-05,
0.1732,-61.0265,2.29535E-05,
0.1815,-61.0265,2.23688E-05,
0.1897,-61.0255,2.17636E-05,
0.1979,-61.0255,2.11395E-05,
0.2062,-61.0245,2.04964E-05,
0.2144,-61.0245,1.9838E-05,
0.2227,-61.0235,1.91652E-05,
0.2309,-61.0235,1.84786E-05,
0.2392,-61.0225,1.77819E-05,
0.2474,-61.0215,1.70769E-05,
0.2557,-61.0215,1.63657E-05,
0.2639,-61.0205,1.56505E-05,
0.2722,-61.0205,1.49334E-05,
0.2804,-61.0195,1.4218E-05,
0.2887,-61.0185,1.35067E-05,
0.2969,-61.0185,1.28019E-05,
0.3052,-61.0175,1.21072E-05,
0.3134,-61.0175,1.14249E-05,
0.3217,-61.0165,1.07576E-05,
0.3299,-61.0155,1.01089E-05,
0.3382,-61.0155,9.48114E-06,
0.3464,-61.0145,8.87703E-06,
0.3547,-61.0145,8.29992E-06,
0.3629,-61.0135,7.75142E-06,
0.3712,-61.0125,7.23341E-06,
0.3794,-61.0125,6.7479E-06,
0.3877,-61.0115,6.2969E-06,
0.3959,-61.0115,5.88139E-06,
0.4041,-61.0105,5.50179E-06,
0.4124,-61.0105,5.15868E-06,
0.4206,-61.0095,4.85178E-06,
0.4289,-61.0095,4.57967E-06,
0.4371,-61.0085,4.34237E-06,
0.4454,-61.0085,4.13827E-06,
0.4536,-61.0085,3.96576E-06,
0.4619,-61.0075,3.82126E-06,
0.4701,-61.0075,3.70396E-06,
0.4784,-61.0075,3.60906E-06,
0.4866,-61.0065,3.53526E-06,
0.4949,-61.0065,3.47836E-06,
0.5031,-61.0065,3.43586E-06,
0.5114,-61.0055,3.40466E-06,
0.5196,-61.0055,3.38346E-06,
0.5279,-61.0055,3.36816E-06,
0.5361,-61.0055,3.35666E-06,
0.5444,-61.0055,3.34786E-06,
0.5526,-61.0055,3.33966E-06,
0.5609,-61.0055,3.33096E-06,
0.5691,-61.0055,3.32126E-06,
0.5774,-61.0055,3.30906E-06,
0.5857,-61.0055,3.30566E-06,
0.594,-61.0055,3.29226E-06,
0.6024,-61.0055,3.26926E-06,
0.6107,-61.0045,3.23706E-06,
0.619,-61.0045,3.19636E-06,
0.6274,-61.0045,3.14715E-06,
0.6357,-61.0045,3.09035E-06,
0.644,-61.0045,3.02655E-06,
0.6524,-61.0045,2.95665E-06,
0.6607,-61.0045,2.88125E-06,
0.669,-61.0045,2.80045E-06,
0.6774,-61.0045,2.71705E-06,
0.6857,-61.0045,2.63045E-06,
0.694,-61.0045,2.54204E-06,
0.7024,-61.0045,2.45214E-06,
0.7107,-61.0035,2.36294E-06,
0.719,-61.0035,2.27434E-06,
0.7274,-61.0035,2.18724E-06,
0.7357,-61.0035,2.10234E-06,
0.744,-61.0035,2.02073E-06,
0.7524,-61.0035,1.94303E-06,
0.7607,-61.0035,1.86913E-06,
0.769,-61.0035,1.80043E-06,
0.7774,-61.0025,1.73643E-06,
0.7857,-61.0025,1.67853E-06,
0.794,-61.0025,1.62633E-06,
0.8024,-61.0025,1.57923E-06,
0.8107,-61.0025,1.53903E-06,
0.819,-61.0025,1.50303E-06,
0.8274,-61.0025,1.47353E-06,
0.8357,-61.0025,1.44893E-06,
0.844,-61.0025,1.42922E-06,
0.8524,-61.0015,1.41372E-06,
0.8607,-61.0015,1.40292E-06,
0.869,-61.0015,1.39522E-06,
0.8774,-61.0015,1.38912E-06,
0.8857,-61.0015,1.38622E-06,
0.894,-61.0015,1.38492E-06,
0.9024,-61.0015,1.38442E-06,
0.9107,-61.0015,1.38402E-06,
0.919,-61.0015,1.38382E-06,
0.9274,-61.0015,1.38352E-06,
0.9357,-61.0015,1.38142E-06,
0.944,-61.0015,1.37842E-06,
0.9524,-61.0015,1.37352E-06,
0.9607,-61.0015,1.36682E-06,
0.969,-61.0025,1.35862E-06,
0.9774,-61.0025,1.34842E-06,
0.9857,-61.0025,1.33752E-06,
0.994,-61.0025,1.32582E-06,
1.0024,-61.0025,1.31412E-06,
1.0107,-61.0025,1.30362E-06,
1.019,-61.0035,1.29572E-06,
1.0274,-61.0035,1.29142E-06,
1.0357,-61.0035,1.29342E-06,
1.044,-61.0035,1.30222E-06,
1.0524,-61.0045,1.32112E-06,
1.0607,-61.0045,1.35232E-06,
1.069,-61.0045,1.39802E-06,
1.0774,-61.0055,1.46162E-06,
1.0857,-61.0055,1.54553E-06,
1.094,-61.0055,1.65273E-06,
1.1024,-61.0065,1.78603E-06,
1.1107,-61.0065,1.94743E-06,
1.119,-61.0075,2.13953E-06,
1.1274,-61.0075,2.36494E-06,
1.1357,-61.0085,2.62524E-06,
1.144,-61.0085,2.92115E-06,
1.1524,-61.0095,3.25475E-06,
1.1607,-61.0095,3.62636E-06,
1.169,-61.0105,4.03576E-06,
1.1774,-61.0105,4.48307E-06,
1.1857,-61.0115,4.96708E-06,
1.194,-61.0115,5.48708E-06,
1.2024,-61.0125,6.04019E-06,
1.2107,-61.0125,6.627E-06,
1.219,-61.0135,7.24311E-06,
1.2274,-61.0145,7.88631E-06,
1.2357,-61.0145,8.55452E-06,
1.244,-61.0155,9.24553E-06,
1.2524,-61.0165,9.95434E-06,
1.2607,-61.0165,1.06802E-05,
1.269,-61.0175,1.14184E-05,
1.2774,-61.0175,1.21663E-05,
1.2857,-61.0185,1.29212E-05,
1.294,-61.0195,1.36808E-05,
1.3024,-61.0195,1.44409E-05,
1.3107,-61.0205,1.51997E-05,
1.319,-61.0215,1.59538E-05,
1.3274,-61.0215,1.67021E-05,
1.3357,-61.0225,1.74408E-05,
1.344,-61.0225,1.81691E-05,
1.3524,-61.0235,1.88837E-05,
1.3607,-61.0245,1.95837E-05,
1.369,-61.0245,2.02667E-05,
1.3774,-61.0255,2.09321E-05,
1.3857,-61.0255,2.15776E-05,
1.394,-61.0265,2.22019E-05,
1.4024,-61.0265,2.28043E-05,
1.4107,-61.0275,2.33828E-05,
1.419,-61.0275,2.39374E-05,
1.4274,-61.0285,2.44664E-05,
1.4357,-61.0285,2.49689E-05,
1.444,-61.0295,2.54454E-05,
1.4524,-61.0295,2.58944E-05,
1.4607,-61.0295,2.63144E-05,
1.469,-61.0305,2.67066E-05,
1.4774,-61.0305,2.70697E-05,
1.4857,-61.0305,2.74032E-05,
1.494,-61.0315,2.77065E-05,
1.5024,-61.0315,2.79803E-05,
1.5107,-61.0315,2.82231E-05,
1.519,-61.0315,2.84361E-05,
1.5274,-61.0325,2.86181E-05,
1.5357,-61.0325,2.8769E-05,
1.544,-61.0325,2.88896E-05,
1.5524,-61.0325,2.89783E-05,
1.5607,-61.0325,2.90359E-05,
1.569,-61.0325,2.90627E-05,
1.5774,-61.0325,2.90581E-05,
,,,
,,,
0,-48.7635,1,
0.0082,-48.7635,1,
0.0165,-48.7635,1,
